CARACTERÍSTICAS ESCOLA CÓDIGO DA ENTIDADE,NOME DA ENTIDADE,SIGLA DA UF,MUNICÍPIO,DEPENDÊNCIA ADMINISTRATIVA,LOCALIZAÇÃO,NÚMERO DE ALUNOS NO CENSO,PORTE DA ESCOLA,NÚMERO DE PARTICIPANTES NO ENEM,TAXA DE PARTICPAÇÃO,NÚMERO DE PARTICIPANTES COM NECESSIDADES ESPECIAIS,INDICADORES INDICADOR DE PERMANENCIA NA ESCOLA,INDICADOR NÍVEL SOCIOECONÔMICO,FAIXA - INDICADOR DE FORMAÇÃO DOCENTE,INDICADOR DE FORMAÇÃO DOCENTE,TAXA DE APROVAÇÃO,TAXA DE REPROVAÇÃO,TAXA DE ABANDONO,DESEMPENHO  CIÊNCIAS DA NATUREZA E SUAS TECNOLOGIAS MÉDIA DOS 30 MELHORES ALUNOS DA ESCOLA,MÉDIA,Percentual alunos NÍVEL 1,Percentual alunos NÍVEL 2,Percentual alunos NÍVEL 3,Percentual alunos NÍVEL 4,Percentual alunos NÍVEL 5
2.6016028E7,ESCOLA DE REFERENCIA EM ENSINO MEDIO JOAQUIM MENDES DA SILVA,PE,CARNAIBA,Estadual,Urbana,120.0,Mais que 90 alunos,97.0,80.83333333333333,1.0,80% ou mais,Médio,Maior que 50%,52.9,96.3,1.8,1.9,574.0033333333333,490.12371134020617,31.958762886597935,50.51546391752577,15.463917525773196,2.0618556701030926,0.0
2.608791E7,ESCOLA DE REFERENCIA EM ENSINO MEDIO JOAO CAVALCANTI PETRIBU,PE,CARPINA,Estadual,Urbana,220.0,Mais que 90 alunos,130.0,59.09090909090909,0.0,De 40% a 60%,Médio,Até 50%,48.3,81.7,18.1,0.2,528.7433333333333,455.55307692307696,49.23076923076923,46.15384615384615,4.615384615384616,0.0,0.0
2.6088258E7,ESCOLA ALUISIO GERMANO,PE,CARPINA,Estadual,Urbana,30.0,De 1 a 30 alunos,24.0,80.0,0.0,80% ou mais,Médio,Até 50%,45.5,73.2,21.9,4.9,,472.4375,37.5,54.166666666666664,8.333333333333332,0.0,0.0
2.6088282E7,ESCOLA DE REFERENCIA EM ENSINO MEDIO JOAQUIM OLAVO,PE,CARPINA,Estadual,Urbana,159.0,Mais que 90 alunos,142.0,89.30817610062893,0.0,80% ou mais,Médio Baixo,Maior que 50%,51.6,84.4,15.6,0.0,542.63,463.5289655172414,39.436619718309856,53.52112676056338,7.042253521126761,0.0,0.0
2.652572E7,ESCOLA TECNICA MARIA EDUARDA RAMOS DE BARROS,PE,CARPINA,Estadual,Urbana,109.0,Mais que 90 alunos,103.0,94.4954128440367,0.0,80% ou mais,Médio,Até 50%,47.1,91.2,8.8,0.0,607.4633333333334,514.9417475728156,24.271844660194176,42.71844660194174,29.126213592233007,3.8834951456310676,0.0
2.6087847E7,EDUCANDARIO TAVARES DE SOUZA,PE,CARPINA,Privada,Urbana,14.0,De 1 a 30 alunos,13.0,92.85714285714286,0.0,De 60% a 80%,Médio,Maior que 50%,51.4,97.7,2.3,0.0,,468.2692307692308,46.15384615384615,46.15384615384615,7.6923076923076925,0.0,0.0
2.608807E7,ESCOLA SALESIANA PADRE RINALDI,PE,CARPINA,Privada,Urbana,17.0,De 1 a 30 alunos,16.0,94.11764705882352,0.0,De 60% a 80%,Alto,Até 50%,46.2,88.3,11.7,0.0,,535.54375,0.0,50.0,50.0,0.0,0.0
2.614677E7,COLEGIO HEMERLINDA CORREIA,PE,CARPINA,Privada,Urbana,18.0,De 1 a 30 alunos,16.0,88.88888888888889,0.0,De 60% a 80%,Médio Alto,Até 50%,44.1,95.6,4.4,0.0,,469.44375,37.5,50.0,12.5,0.0,0.0
2.615983E7,COLEGIO DECISAO CARPINA,PE,CARPINA,Privada,Urbana,56.0,De 31 a 60 alunos,50.0,89.28571428571429,0.0,De 60% a 80%,Médio Alto,Maior que 50%,71.4,98.0,2.0,0.0,526.4633333333334,488.48800000000006,28.000000000000004,50.0,22.0,0.0,0.0
2.6053845E7,ESCOLA DE REFERENCIA EM ENSINO MEDIO DE CARUARU NELSON BARBALHO,PE,CARUARU,Estadual,Urbana,110.0,Mais que 90 alunos,99.0,90.0,1.0,80% ou mais,Médio,Maior que 50%,52.0,95.8,3.6,0.6,567.3100000000001,487.9616161616162,31.313131313131315,46.464646464646464,22.22222222222222,0.0,0.0
2.6054027E7,ESCOLA DE REFERENCIA EM ENSINO MEDIO ARNALDO ASSUNCAO,PE,CARUARU,Estadual,Urbana,130.0,Mais que 90 alunos,120.0,92.3076923076923,0.0,80% ou mais,Médio,Maior que 50%,59.8,96.8,3.2,0.0,586.89,510.28916666666663,20.833333333333336,49.166666666666664,28.333333333333332,1.6666666666666667,0.0
