CARACTERÍSTICAS ESCOLA CÓDIGO DA ENTIDADE,NOME DA ENTIDADE,SIGLA DA UF,MUNICÍPIO,DEPENDÊNCIA ADMINISTRATIVA,LOCALIZAÇÃO,NÚMERO DE ALUNOS NO CENSO,PORTE DA ESCOLA,NÚMERO DE PARTICIPANTES NO ENEM,TAXA DE PARTICPAÇÃO,NÚMERO DE PARTICIPANTES COM NECESSIDADES ESPECIAIS,INDICADORES INDICADOR DE PERMANENCIA NA ESCOLA,INDICADOR NÍVEL SOCIOECONÔMICO,FAIXA - INDICADOR DE FORMAÇÃO DOCENTE,INDICADOR DE FORMAÇÃO DOCENTE,TAXA DE APROVAÇÃO,TAXA DE REPROVAÇÃO,TAXA DE ABANDONO,DESEMPENHO  CIÊNCIAS HUMANAS E SUAS TECNOLOGIAS MÉDIA DOS 30 MELHORES ALUNOS DA ESCOLA,MÉDIA,Percentual alunos NÍVEL 1,Percentual alunos NÍVEL 2,Percentual alunos NÍVEL 3,Percentual alunos NÍVEL 4,Percentual alunos NÍVEL 5
3.1167258E7,EE GUIOMAR DE FREITAS COSTA,MG,UBERLANDIA,Estadual,Urbana,156.0,Mais que 90 alunos,102.0,65.38461538461539,0.0,De 40% a 60%,Médio Alto,Maior que 50%,78.2,56.0,23.3,20.7,616.7433333333335,554.9568627450981,6.862745098039216,34.31372549019608,57.84313725490197,0.9803921568627451,0.0
3.1167266E7,EE HORTENCIO DINIZ,MG,UBERLANDIA,Estadual,Urbana,119.0,Mais que 90 alunos,80.0,67.22689075630252,0.0,De 40% a 60%,Médio Alto,Maior que 50%,86.6,61.9,25.3,12.8,601.9166666666667,545.6600000000001,6.25,43.75,48.75,1.25,0.0
3.1167291E7,EE IGNACIO PAES LEME,MG,UBERLANDIA,Estadual,Urbana,76.0,De 61 a 90 alunos,69.0,90.78947368421053,0.0,De 60% a 80%,Médio Alto,Maior que 50%,93.0,70.2,25.5,4.3,613.5266666666668,560.0811594202899,4.3478260869565215,33.33333333333333,57.971014492753625,4.3478260869565215,0.0
3.1167304E7,EE PROFESSORA JUVENILIA FERREIRA DOS SANTOS,MG,UBERLANDIA,Estadual,Urbana,224.0,Mais que 90 alunos,114.0,50.89285714285714,0.0,De 40% a 60%,Médio Alto,Maior que 50%,79.9,56.6,21.1,22.3,626.6833333333333,558.6877192982456,6.140350877192982,29.82456140350877,58.77192982456141,5.263157894736842,0.0
3.1167321E7,EE AMERICO RENE GIANNETTI,MG,UBERLANDIA,Estadual,Urbana,154.0,Mais que 90 alunos,128.0,83.11688311688312,0.0,De 60% a 80%,Médio Alto,Maior que 50%,72.6,60.3,28.8,10.9,625.8633333333333,556.84921875,5.46875,37.5,54.6875,2.34375,0.0
3.1167339E7,EE PROFESSOR JOSE IGNACIO DE SOUSA,MG,UBERLANDIA,Estadual,Urbana,313.0,Mais que 90 alunos,247.0,78.91373801916933,0.0,De 60% a 80%,Médio Alto,Maior que 50%,75.2,63.9,25.9,10.2,654.6566666666666,568.1226720647774,3.643724696356275,30.76923076923077,59.91902834008097,5.668016194331984,0.0
3.1167398E7,EE MARIO PORTO,MG,UBERLANDIA,Estadual,Urbana,153.0,Mais que 90 alunos,90.0,58.82352941176471,0.0,De 60% a 80%,Médio Alto,Maior que 50%,81.5,74.2,17.6,8.2,593.86,526.7244444444444,11.11111111111111,50.0,36.666666666666664,2.2222222222222223,0.0
3.1167401E7,EE ANGELA TEIXEIRA DA SILVA,MG,UBERLANDIA,Estadual,Urbana,173.0,Mais que 90 alunos,104.0,60.115606936416185,0.0,De 60% a 80%,Médio Alto,Maior que 50%,78.9,77.0,12.3,10.7,593.4599999999999,524.6269230769232,12.5,50.0,35.57692307692308,1.9230769230769231,0.0
3.1167436E7,EE MESSIAS PEDREIRO,MG,UBERLANDIA,Estadual,Urbana,713.0,Mais que 90 alunos,649.0,91.02384291725105,0.0,80% ou mais,Alto,Maior que 50%,80.2,90.3,7.1,2.6,687.9,583.5630200308166,3.697996918335902,21.10939907550077,64.56086286594761,10.631741140215716,0.0
3.1167487E7,EE ANTONIO LUIS BASTOS,MG,UBERLANDIA,Estadual,Urbana,262.0,Mais que 90 alunos,207.0,79.00763358778626,3.0,De 60% a 80%,Médio Alto,Maior que 50%,86.7,65.7,19.5,14.8,652.1433333333334,554.9381642512077,7.729468599033816,34.29951690821256,52.17391304347826,5.797101449275362,0.0
